# Window(s)   Certified_MinEntropy(bits)
1.999999999999999879e-11 nan
5.355932203389830414e-11 3.075948853233299030e+00
8.711864406779661273e-11 3.135209282544120679e+00
1.206779661016949213e-10 3.227656584810004503e+00
1.542372881355932428e-10 2.976021137065560485e+00
1.877966101694915643e-10 2.968841584477134976e+00
2.213559322033898600e-10 2.838562177657954599e+00
2.549152542372881298e-10 3.021960789456594743e+00
2.884745762711864513e-10 2.792095734586928391e+00
3.220338983050847728e-10 2.782901878333065238e+00
3.555932203389830943e-10 2.731755258607304171e+00
3.891525423728813642e-10 2.549459139322577172e+00
4.227118644067796857e-10 2.632617103392362878e+00
4.562711864406780072e-10 2.575260412771749774e+00
4.898305084745763287e-10 2.494823009555471316e+00
5.233898305084747019e-10 2.524811764140560744e+00
5.569491525423729717e-10 2.511967417565068583e+00
5.905084745762712415e-10 2.324792209635817120e+00
6.240677966101696147e-10 2.341802476378310516e+00
6.576271186440678845e-10 2.385084277177211831e+00
6.911864406779662577e-10 2.229133999215503259e+00
7.247457627118645276e-10 2.252742692321729745e+00
7.583050847457627974e-10 2.275804575089603432e+00
7.918644067796611706e-10 2.167357579303574866e+00
8.254237288135594404e-10 2.285658401947515017e+00
8.589830508474577102e-10 2.386800831458310679e+00
8.925423728813560834e-10 2.360151086132390219e+00
9.261016949152543532e-10 2.399270183420524116e+00
9.596610169491525196e-10 2.416903493034587402e+00
9.932203389830507894e-10 2.410001909381545460e+00
1.026779661016949266e-09 2.465720766093081551e+00
1.060338983050847536e-09 2.486394215878838132e+00
1.093898305084745806e-09 2.380039093000328787e+00
1.127457627118644075e-09 2.396982732424603135e+00
1.161016949152542345e-09 2.461893789590088311e+00
1.194576271186440822e-09 2.487844100452757168e+00
1.228135593220339092e-09 2.504672958497580648e+00
1.261694915254237362e-09 2.512974135389644648e+00
1.295254237288135631e-09 2.518867415733458959e+00
1.328813559322033901e-09 2.570421445064923649e+00
1.362372881355932378e-09 2.593760295991350162e+00
1.395932203389830648e-09 2.577399556485665766e+00
1.429491525423728917e-09 2.582744675471337903e+00
1.463050847457627187e-09 2.595094755852880741e+00
1.496610169491525457e-09 2.562007785981297747e+00
1.530169491525423727e-09 2.567256259769310045e+00
1.563728813559322203e-09 2.575936762741894981e+00
1.597288135593220473e-09 2.539275924644718074e+00
1.630847457627118743e-09 2.568878777386076617e+00
1.664406779661017013e-09 2.582096679157829922e+00
1.697966101694915283e-09 2.543905468681541659e+00
1.731525423728813759e-09 2.558608985730996821e+00
1.765084745762712029e-09 2.496454422708212384e+00
1.798644067796610299e-09 2.507794640198699909e+00
1.832203389830508569e-09 2.525338518034734747e+00
1.865762711864407045e-09 2.500095320820926226e+00
1.899322033898305108e-09 2.507794640198696801e+00
1.932881355932203585e-09 2.534992160011634521e+00
1.966440677966101648e-09 2.569901819956478040e+00
2.000000000000000125e-09 2.636590437986080726e+00
