Energy,Counts
6760500,2
6841500,2
6922500,0
7003500,2
7084500,5
7165500,5
7246500,7
7327500,14
7408500,21
7489500,6
7570500,12
7651500,16
7732500,12
7813500,10
7894500,15
7975500,14
8056500,6
8137500,9
8218500,14
8299500,15
8380500,19
8461500,13
8542500,21
8623500,17
8704500,15
8785500,12
8866500,8
8947500,14
9028500,7
9109500,9
9190500,6
9271500,14
9352500,8
9433500,5
9514500,6
9595500,13
9676500,8
9757500,6
9838500,9
9919500,6
10000500,8
10081500,9
10162500,5
10243500,6
10324500,10
10405500,9
10486500,8
10567500,9
10648500,11
10729500,4
