File                  BW(nm)    Samples    Peak(W)     SWH(W)     Thresh     TF   ExtEvt   Bits
-----------------------------------------------------------------------------------------------
SABP0_1_1                  0       4096     534.48   194.5076   427.9167   2.75      271    271
SABP0_1_2                  0       4092       1.00     0.0093     0.0205 107.17       23     23
SABP0_2_1                  0       4096     978.54   165.2313   363.5088   5.92      263    263
SABP0_2_2                  0       4079       1.00     0.0236     0.0520  42.30       57     57
SABP0_3_1                  0       4096    1262.30   141.5575   311.4265   8.92      204    204
SABP0_3_2                  0       4083       1.00     0.0414     0.0910  24.17       93     93
SABP0_4_1                  0       4096     964.63   168.3730   370.4206   5.73      268    268
SABP0_4_2                  0       4080       1.00     0.0254     0.0560  39.31       87     87
SABP0_5_1                  0       4096    1109.65   157.2245   345.8940   7.06      237    237
SABP0_5_2                  0       4076       1.00     0.0329     0.0724  30.39      110    110
SABP0_6_1                  0       4096    1239.46   151.2534   332.7575   8.19      215    215
SABP0_6_2                  0       4082       1.00     0.0425     0.0936  23.51      125    125
SABP0_7_1                  0       4096    1025.89   166.4614   366.2150   6.16      259    259
SABP0_7_2                  0       4078       1.00     0.0310     0.0681  32.29      137    137
SABP0_8_1                  0       4096    1120.02   165.8119   364.7862   6.75      244    244
SABP0_8_2                  0       4083       1.00     0.0380     0.0836  26.31      150    150
SABP0_9_1                  0       4096    1899.39   193.6339   425.9947   9.81      234    234
SABP0_9_2                  0       4073       1.00     0.0541     0.1191  18.48      179    179
SABP10_1_1                10       4096    3585.68   531.9755  1170.3461   6.74      244    244
SABP10_1_2                10       4091       1.00     0.3298     0.7255   3.03       59     59
SABP10_1                  10       4096    3607.40   530.8040  1167.7687   6.80      243    243
SABP10_2_1                10       4096    3562.92   533.2532  1173.1570   6.68      246    246
SABP10_2_2                10       4093       1.00     0.3302     0.7265   3.03       61     61
SABP10_2                  10       4095       1.00     0.3281     0.7218   3.05       60     60
SABP10_3_1                10       4096    3539.95   534.6575  1176.2464   6.62      247    247
SABP10_3_2                10       4083       1.00     0.3315     0.7293   3.02       60     60
SABP10_4_1                10       4096    3517.50   535.7347  1178.6162   6.57      248    248
SABP10_4_2                10       4096       1.00     0.3327     0.7320   3.01       62     62
SABP10_5_1                10       4096    3494.73   536.8678  1181.1092   6.51      249    249
SABP10_5_2                10       4083       1.00     0.3366     0.7404   2.97       62     62
SABP10_6_1                10       4096    3468.50   538.1614  1183.9550   6.45      251    251
SABP10_6_2                10       4088       1.00     0.3370     0.7414   2.97       63     63
SABP10_7_1                10       4096    3446.66   539.1602  1186.1523   6.39      252    252
SABP10_7_2                10       4087       1.00     0.3411     0.7504   2.93       64     64
SABP10_8_1                10       4096    3422.11   540.3130  1188.6887   6.33      254    254
SABP10_8_2                10       4087       1.00     0.3442     0.7572   2.91       63     63
SABP10_9_1                10       4096    3396.18   541.5005  1191.3011   6.27      255    255
SABP10_9_2                10       4085       1.00     0.3461     0.7614   2.89       65     65
SABP11_1_1                11       4096    3345.91   543.7731  1196.3008   6.15      257    257
SABP11_1_2                11       4093       1.00     0.3523     0.7750   2.84       68     68
SABP11_1                  11       4096    3369.55   542.7160  1193.9752   6.21      256    256
SABP11_2_1                11       4096    3322.05   544.7881  1198.5338   6.10      259    259
SABP11_2_2                11       4091       1.00     0.3572     0.7859   2.80       68     68
SABP11_2                  11       4084       1.00     0.3488     0.7673   2.87       67     67
