z psi1 psi2 psi3 psi4 psi5
-2.500000000000000000e+00 6.270624393331348045e+01 -1.254118739174839874e+02 1.881162760125444606e+02 2.508188362909248212e+02 3.135189408367050987e+02
-2.494994994994994997e+00 1.254118702172305575e+02 -2.508188066761520645e+02 3.762158758185891543e+02 5.015981444747176852e+02 6.269606800433299441e+02
-2.489989989989989994e+00 1.881162612084388570e+02 -3.762158573118677509e+02 5.642821246899542302e+02 7.522984026737289014e+02 9.402480350001038687e+02
-2.484984984984984990e+00 2.508187992757928555e+02 -5.015980852498432228e+02 7.522983508549647240e+02 1.002880101468286966e+03 1.253303861103188410e+03
-2.479979979979979987e+00 3.135188668063973410e+02 -6.269605504992958913e+02 9.402478869763763214e+02 1.253303750123234977e+03 1.566051070760941457e+03
-2.474974974974974984e+00 3.762158462116904047e+02 -7.522983138480790331e+02 1.128114071628906231e+03 1.503529882811519428e+03 1.878412652376144706e+03
-2.469969969969969981e+00 4.389091199335313718e+02 -8.776064370572951248e+02 1.315880250776256844e+03 1.753519064833875746e+03 2.190311689309537996e+03
-2.464964964964964977e+00 5.015980704502789536e+02 -1.002879983055848584e+03 1.503529779247454371e+03 2.003231898833570540e+03 2.501671378819930396e+03
-2.459959959959959974e+00 5.642820802828764499e+02 -1.128114016134970370e+03 1.691046022212425896e+03 2.252629031005287743e+03 2.812415050976296243e+03
-2.454954954954954971e+00 6.269605320009324032e+02 -1.253303602142678983e+03 1.878412356656644533e+03 2.501671157297133959e+03 3.122466187537150290e+03
-2.449949949949949968e+00 6.896328082288010819e+02 -1.378443808678180631e+03 2.065612172854730943e+03 2.750319029604806474e+03 3.431748440792571728e+03
-2.444944944944944965e+00 7.522982916516587011e+02 -1.503529705286194485e+03 2.252628875842864545e+03 2.998533461956927113e+03 3.740185652364214548e+03
-2.439939939939939961e+00 8.149563650215950474e+02 -1.628556363651230185e+03 2.439445886889928715e+03 3.246275336690645872e+03 4.047701871958780885e+03
-2.434934934934934958e+00 8.776064111636915186e+02 -1.753518857791758819e+03 2.626046644967193970e+03 3.493505610616437025e+03 4.354221376070186125e+03
-2.429929929929929955e+00 9.402478129820976847e+02 -1.878412264254289084e+03 2.812414608216410215e+03 3.740185321171145006e+03 4.659668686625883311e+03
-2.424924924924924952e+00 1.002879953466096254e+03 -2.003231662307320676e+03 2.998533255416176871e+03 3.986275592558281460e+03 4.963968589572680685e+03
-2.419919919919919948e+00 1.065502215696206576e+03 -2.127972134135270608e+03 3.184386087446603597e+03 4.231737641874816291e+03 5.267046153397765011e+03
-2.414914914914914945e+00 1.128113982850240745e+03 -2.252628765032192405e+03 3.369956628751869175e+03 4.476532785223128485e+03 5.568826747579905714e+03
-2.409909909909909942e+00 1.190714638209381064e+03 -2.377196643595416390e+03 3.555228428800757683e+03 4.720622443807460513e+03 5.869236060966655714e+03
-2.404904904904904939e+00 1.253303565164263546e+03 -2.501670861919071740e+03 3.740185063544995046e+03 4.963968150013813101e+03 6.168200120072939171e+03
-2.399899899899899935e+00 1.315880147221049356e+03 -2.626046515787455519e+03 3.924810136875217268e+03 5.206531553472299493e+03 6.465645307296460487e+03
-2.394894894894894932e+00 1.378443768007498647e+03 -2.750318704868254372e+03 4.109087282074451650e+03 5.448274427101022411e+03 6.761498379045458023e+03
-2.389889889889889929e+00 1.440993811279039164e+03 -2.874482532905611606e+03 4.293000163269003679e+03 5.689158673130506031e+03 7.055686483774384214e+03
-2.384884884884884926e+00 1.503529660924841210e+03 -2.998533107913049662e+03 4.476532476876614055e+03 5.929146329107786187e+03 7.348137179923046460e+03
-2.379879879879879923e+00 1.566050700973871926e+03 -3.122465542366176578e+03 4.659667953051701261e+03 6.168199573879088348e+03 7.638778453754725888e+03
-2.374874874874874919e+00 1.628556315600954349e+03 -3.246274953395243301e+03 4.842390357127642346e+03 6.406280733550271179e+03 7.927538737088964808e+03
-2.369869869869869916e+00 1.691045889132882849e+03 -3.369956462977618685e+03 5.024683491056082858e+03 6.643352287424285350e+03 8.214346924924915584e+03
-2.364864864864864913e+00 1.753518806054448760e+03 -3.493505198129906603e+03 5.206531194842771583e+03 6.879376873914139651e+03 8.499132392950217763e+03
