#Segment SPDC QW_TOA PHASE
0 0.9999901247270276 0.9999991271664389 0.9999935078596924
1 0.999872397072121 0.9999823251073148 0.999969989928811
2 0.9999509027245483 0.9999996952277659 0.999974462340838
3 0.999956112768948 0.9999860346640572 0.9999875765537832
4 0.9999454005145076 0.9999995383346523 0.9999949343282233
5 0.9999972570714298 0.9999735967134251 0.9999996465368008
6 0.9999793531292159 0.9999976628298863 0.9999935078596924
7 0.9999901247270276 0.9999947413673014 0.9999997817894788
8 0.9999844026041446 0.9999988728913204 0.9998616248882661
9 0.9999930678363402 0.9999999350758368 0.9999264140854414
